Datasource:,https://walmart-open-data-walmarttech.opendata.arcgis.com/maps/walmarttech::walmart-store-status-web-map/about,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
OID_,businessunit_name,businessunit_number,businessunit_banner_description,businessunit_type_description,businessunit_isstoreopen,facilitydetails_location_locati,facilitydetails_location_loca_1,facilitydetails_location_loca_2,facilitydetails_location_loca_3,facilitydetails_location_loca_8,businessunit_status_code,op_status,Modified_Operating_Hours_,Pharmacy_open_to_public_,Fuel_Station_open_to_public_,bu_num,Grocery_delivery_service,Grocery_delivery_status,Online_grocery_pickup,Online_grocery_pickup_status
15174,BEDFORD IN,1026,WM Supercenter,Retail,1,3200 JOHN WILLIAMS BLVD,BEDFORD,LAWRENCE,IN,47421-9153,5,Open,,Y,Y,1026,No,,No,Not Available
15175,CONCORD NC,1027,WM Supercenter,Retail,1,150 CONCORD COMMONS PL SW,CONCORD,CABARRUS,NC,28027-5026,5,Open,,Y,Y,1027,No,,No,Available
15176,"EAST PEORIA, IL",1028,WM Supercenter,Retail,1,401 RIVER RD,EAST PEORIA,TAZEWELL,IL,61611-2063,5,Open,,Y,Y,1028,No,Available,Yes,Available
15177,HOMOSASSA FL,1029,WM Supercenter,Retail,1,6885 S SUNCOAST BLVD,HOMOSASSA,CITRUS,FL,34446-3404,2,Open,,Y,Y,1029,No,,No,Available
15178,SHAWNEE OK,103,WM Supercenter,Retail,1,196 SHAWNEE MALL DR,SHAWNEE,POTTAWATOMIE,OK,74804-1337,5,Open,,Y,Y,103,No,,No,Available
15179,LANCASTER SC,1030,WM Supercenter,Retail,1,805 HWY 9 BYPASS WES,LANCASTER,LANCASTER,SC,29720-4773,5,Open,,Y,Y,1030,Yes,Available,Yes,Available
15181,PANAMA CITY FL,1032,WM Supercenter,Retail,1,2101 S HIGHWAY 77,LYNN HAVEN,BAY,FL,32444-4631,5,Open,,Y,Y,1032,No,Available,No,Available
15182,SEYMOUR IN,1033,WM Supercenter,Retail,1,1600 E TIPTON ST,SEYMOUR,JACKSON,IN,47274-3560,5,Open,,Y,Y,1033,No,,No,Available
15183,SHELBY NC,1034,WM Supercenter,Retail,1,705 E DIXON BLVD,SHELBY,CLEVELAND,NC,28152-6821,5,Open,,Y,Y,1034,No,Available,No,Available
15184,SPARTANBURG SC,1035,WM Supercenter,Retail,1,141 DORMAN CENTRE DR,SPARTANBURG,SPARTANBURG,SC,29301-2625,5,Open,,Y,Y,1035,No,Not Available,No,Available
