FIPSTEXT,y17_M201
00000,75.41
01001,76.82
01003,78.15
01005,60.64
01007,73.17
01009,74.61
01011,69.02
01013,73.81
01015,77.14
01017,71.90
01019,73.21
01021,73.87
01023,66.49
01025,56.56
01027,71.65
01029,76.80
01031,70.94
01033,73.77
01035,56.69
01037,72.56
01039,71.55
01041,67.59
01043,75.52
01045,77.19
01047,69.32
01049,75.76
01051,74.35
01053,72.54
01055,73.81
01057,75.93
01059,65.84
01061,71.83
01063,67.69
01065,66.67
01067,76.26
01069,71.78
01071,72.55
01073,80.10
01075,68.40
01077,69.37
01079,69.97
01081,79.94
01083,75.26
01085,60.35
01087,66.76
01089,77.67
01091,68.37
01093,69.93
01095,78.32
01097,77.03
01099,58.49
01101,73.04
01103,78.35
01105,60.17
01107,68.17
01109,70.88
01111,77.22
01113,66.89
01115,83.06
01117,76.96
01119,75.75
01121,75.44
01123,75.50
01125,77.20
01127,67.47
01129,65.06
01131,64.15
01133,70.45
02010,89.13
02020,87.71
02090,86.86
02110,85.00
02122,89.62
04001,43.58
04003,78.95
04005,43.93
04007,75.50
04009,72.99
04011,84.55
04012,71.13
04013,84.95
04015,87.38
04017,40.38
04019,72.01
04021,85.43
04023,88.13
04025,86.35
04027,84.43
05001,68.65
05003,64.87
05005,80.58
05007,74.48
05009,76.62
05011,74.03
05013,74.26
05015,76.48
05017,72.51
05019,70.29
05021,70.30
05023,73.67
05025,69.27
05027,65.99
05029,68.10
05031,78.39
05033,68.96
05035,69.85
05037,73.33
05039,66.67
05041,75.64
05043,71.38
05045,76.66
05047,76.33
05049,73.21
05051,74.51
05053,82.21
05055,73.06
05057,70.31
05059,74.96
05061,69.11
05063,73.26
05065,75.63
05067,71.46
05069,69.95
05071,74.35
05073,80.49
05075,76.45
05077,69.68
05079,62.60
05081,69.32
05083,73.42
05085,73.93
05087,74.37
05089,78.53
05091,73.49
05093,78.17
05095,63.44
05097,64.25
05099,67.32
05101,75.98
05103,63.90
05105,75.57
05107,68.83
05109,80.20
05111,71.07
05113,71.25
05115,77.91
05117,76.29
05119,78.10
05121,62.56
05123,69.06
05125,78.44
05127,71.97
05129,68.94
05131,80.59
05133,84.81
05135,69.94
05137,71.86
05139,74.63
05141,77.09
05143,78.59
05145,71.48
05147,64.71
05149,73.68
06001,84.53
06003,83.33
06005,86.31
06007,80.39
06009,79.26
06011,83.09
06013,84.53
06015,97.78
06017,87.63
06019,75.64
06021,83.29
06023,79.51
06025,90.66
06027,83.53
06029,82.67
06031,80.37
06033,78.93
06035,77.72
06037,78.74
06039,77.13
06041,86.88
06043,87.29
06045,81.65
06047,78.52
06049,82.51
06051,78.46
06053,75.54
06055,84.73
06057,88.41
06059,79.79
06061,88.04
06063,82.10
06065,80.43
06067,83.20
06069,81.31
06071,75.89
06073,84.18
06075,80.00
06077,81.69
06079,84.38
06081,88.38
06083,87.66
06085,86.18
06087,85.12
06089,81.45
06091,84.21
06093,82.82
06095,85.16
06097,87.67
06099,82.24
06101,79.00
06103,81.61
06105,82.16
06107,78.17
06109,81.53
06111,80.61
06113,86.41
06115,82.46
08001,80.33
08003,83.21
08005,87.66
08007,79.45
08009,77.06
08011,68.98
08013,90.71
08014,63.16
08015,83.74
08017,73.74
08019,81.82
08021,64.89
08023,59.39
08025,71.54
08027,79.68
08029,83.72
08031,75.00
08033,67.73
08035,87.33
08037,85.99
08039,87.07
08041,80.82
08043,81.14
08045,80.03
08047,81.08
08049,76.90
08051,83.17
08053,76.92
08055,70.71
08057,71.76
08059,86.10
08061,72.16
08063,81.18
08065,84.85
08067,87.47
08069,85.12
08071,71.77
08073,74.44
08075,82.93
08077,86.21
08079,84.21
08081,71.86
08083,78.98
08085,83.61
08087,82.03
08089,77.93
08091,89.34
08093,78.06
08095,86.20
08097,70.54
08099,65.68
08101,77.47
08103,83.13
08105,82.87
08107,81.06
08109,76.39
08111,0.00
08113,77.44
08115,82.08
08117,94.55
08119,83.02
08121,74.37
08123,82.94
08125,82.43
09001,87.06
09003,80.92
09005,83.32
09007,83.90
09009,78.43
09011,87.97
09013,79.23
09015,78.17
10001,76.64
10003,80.89
10005,79.45
12001,79.08
12003,78.35
12005,73.16
12007,75.31
12009,78.74
12011,85.47
12013,75.43
12015,73.86
12017,80.95
12019,72.85
12021,83.54
12023,75.49
12027,73.19
12029,67.23
12031,70.49
12033,76.89
12035,73.28
12037,80.00
12039,73.56
12041,73.45
12043,66.10
12045,56.52
12047,76.63
12049,70.81
12051,78.44
12053,77.91
12055,71.08
12057,75.81
12059,72.95
12061,68.22
12063,76.43
12065,77.70
12067,68.87
12069,81.03
12071,76.00
12073,84.62
12075,83.84
12077,79.28
12079,65.62
12081,76.23
12083,82.26
12085,81.48
12086,70.64
12087,90.00
12089,73.19
12091,71.93
12093,70.12
12095,77.01
12097,78.57
12099,84.21
12101,77.77
12103,81.76
12105,71.49
12107,74.82
12109,85.38
12111,68.92
12113,79.26
12115,76.71
12117,78.66
12119,74.67
12121,76.55
12123,75.00
12125,74.03
12127,76.32
12129,65.55
12131,80.10
12133,71.85
13001,71.53
13003,72.09
13005,80.22
13007,62.59
13009,79.86
13011,76.89
13013,78.82
13015,77.83
13017,70.97
13019,77.65
13021,83.67
13023,58.87
13025,78.72
13027,72.50
13029,74.74
13031,76.78
13033,76.45
13035,68.79
13037,66.27
13039,80.85
13043,69.54
13045,81.20
13047,78.00
13049,66.67
13051,85.07
13053,75.00
13055,78.02
13057,89.77
13059,90.11
13061,83.58
13063,89.47
13065,72.57
13067,92.24
13069,75.82
13071,72.69
13073,84.70
13075,70.71
13077,80.98
13079,82.81
13081,77.54
13083,68.69
13085,77.60
13087,68.25
13089,97.06
13091,73.66
13093,76.09
13095,85.45
13097,67.74
13099,73.52
13101,74.24
13103,82.68
13105,64.68
13107,74.41
13109,79.02
13111,84.36
13113,86.49
13115,77.33
13117,74.23
13119,78.62
13121,91.79
13123,87.27
13125,86.84
13127,54.72
13129,73.11
13131,69.16
13133,74.19
13135,78.53
13137,81.27
13139,80.94
13141,74.48
13143,69.78
13145,71.97
13147,75.78
13149,84.14
13151,80.00
