FIPSTEXT,y17_M059
00000,39.80
01001,29.80
01003,17.20
01005,27.00
01007,14.00
01009,35.90
01011,28.90
01013,17.00
01015,22.90
01017,33.70
01019,34.20
01021,17.20
01023,14.10
01025,8.10
01027,18.40
01029,13.50
01031,40.80
01033,39.60
01035,19.10
01037,11.00
01039,24.50
01041,29.30
01043,44.50
01045,38.10
01047,42.00
01049,49.70
01051,23.70
01053,17.50
01055,26.10
01057,17.00
01059,31.90
01061,49.90
01063,37.00
01065,38.30
01067,48.40
01069,40.00
01071,31.70
01073,5.30
01075,19.00
01077,49.20
01079,48.40
01081,17.40
01083,62.70
01085,44.30
01087,30.80
01089,36.00
01091,23.60
01093,17.40
01095,40.10
01097,12.10
01099,21.50
01101,46.40
01103,36.40
01105,35.40
01107,18.60
01109,38.50
01111,32.40
01113,24.00
01115,14.60
01117,13.40
01119,31.20
01121,16.90
01123,14.40
01125,11.20
01127,12.80
01129,17.30
01131,29.10
01133,14.60
02010,0.40
02020,0.10
02090,0.10
02110,0.00
02122,0.30
04001,77.50
04003,24.70
04005,51.50
04007,39.90
04009,43.60
04011,5.60
04012,8.70
04013,8.10
04015,8.70
04017,69.30
04019,44.50
04021,32.60
04023,25.00
04025,15.80
04027,7.00
05001,65.50
05003,22.30
05005,28.60
05007,44.90
05009,81.00
05011,7.10
05013,4.70
05015,72.00
05017,74.60
05019,18.60
05021,70.00
05023,36.50
05025,8.30
05027,11.10
05029,48.60
05031,71.00
05033,32.30
05035,80.60
05037,69.00
05039,6.90
05041,63.40
05043,25.20
05045,48.40
05047,47.20
05049,56.60
05051,7.80
05053,12.20
05055,70.60
05057,40.00
05059,19.60
05061,39.80
05063,54.70
05065,51.00
05067,66.70
05069,52.50
05071,24.50
05073,39.40
05075,71.70
05077,66.90
05079,58.10
05081,46.80
05083,41.30
05085,74.40
05087,52.00
05089,46.90
05091,31.60
05093,82.70
05095,52.20
05097,15.50
05099,19.60
05101,19.20
05103,6.00
05105,22.00
05107,81.60
05109,21.40
05111,65.20
05113,25.50
05115,30.50
05117,65.70
05119,16.30
05121,53.40
05123,63.80
05125,9.00
05127,16.40
05129,45.80
05131,29.60
05133,39.30
05135,41.80
05137,41.10
05139,5.50
05141,28.10
05143,52.50
05145,52.00
05147,68.00
05149,32.60
06001,38.80
06003,0.70
06005,47.70
06007,33.30
06009,36.70
06011,62.00
06013,33.90
06015,3.10
06017,8.30
06019,43.20
06021,55.50
06023,27.20
06025,19.50
06027,4.40
06029,44.10
06031,69.30
06033,17.20
06035,16.30
06037,2.20
06039,47.20
06041,42.00
06043,32.50
06045,34.80
06047,76.40
06049,22.80
06051,3.70
06053,63.80
06055,53.40
06057,8.50
06059,6.40
06061,13.20
06063,11.70
06065,5.70
06067,42.10
06069,58.50
06071,0.50
06073,8.20
06075,0.30
06077,86.70
06079,44.10
06081,16.00
06083,40.80
06085,34.90
06087,22.40
06089,17.00
06091,9.30
06093,17.10
06095,65.10
06097,56.20
06099,75.50
06101,98.80
06103,32.50
06105,3.20
06107,40.50
06109,8.60
06111,22.00
06113,70.80
06115,44.40
08001,94.40
08003,41.50
08005,55.40
08007,24.30
08009,90.00
08011,75.90
08013,23.00
08014,40.30
08015,10.20
08017,94.50
08019,4.10
08021,32.30
08023,45.50
08025,96.10
08027,34.10
08029,32.40
08031,0.10
08033,23.10
08035,37.50
08037,14.40
08039,86.00
08041,46.30
08043,28.30
08045,25.20
08047,4.10
08049,20.40
08051,12.90
08053,1.50
08055,57.10
08057,29.20
08059,14.00
08061,96.50
08063,98.20
08065,4.90
08067,50.80
08069,29.00
08071,58.80
08073,90.90
08075,96.70
08077,16.10
08079,1.50
08081,31.40
08083,53.20
08085,23.00
08087,80.50
08089,85.10
08091,24.50
08093,13.50
08095,99.80
08097,5.30
08099,96.40
08101,58.60
08103,19.90
08105,30.40
08107,30.80
08109,15.50
08111,0.00
08113,16.50
08115,99.40
08117,6.80
08119,20.00
08121,84.30
08123,82.30
08125,92.50
09001,13.10
09003,10.20
09005,15.30
09007,6.90
09009,7.00
09011,14.10
09013,13.60
09015,15.80
10001,48.60
10003,24.70
10005,46.00
12001,31.80
12003,8.90
12005,15.20
12007,31.30
12009,24.10
12011,0.90
12013,32.50
12015,25.90
12017,15.00
12019,
12021,11.60
12023,21.00
12027,82.10
12029,12.50
12031,6.10
12033,14.00
12035,25.50
12037,
12039,20.00
12041,36.70
12043,83.00
12045,
12047,26.90
12049,92.30
12051,58.50
12053,16.60
12055,57.80
12057,27.60
12059,33.00
12061,56.70
12063,46.80
12065,43.90
12067,26.90
12069,30.50
12071,17.40
12073,21.50
12075,26.20
12077,6.50
12079,37.60
12081,40.50
12083,32.50
12085,44.20
12086,6.50
12087,0.00
12089,13.10
12091,7.80
12093,60.40
12095,18.90
12097,61.80
12099,38.80
