FIPSTEXT,y17_M001
00000,2042220.00
01001,371.00
01003,842.00
01005,498.00
01007,205.00
01009,1146.00
01011,255.00
01013,420.00
01015,643.00
01017,331.00
01019,530.00
01021,463.00
01023,188.00
01025,320.00
01027,381.00
01029,319.00
01031,788.00
01033,591.00
01035,344.00
01037,215.00
01039,907.00
01041,543.00
01043,1781.00
01045,469.00
01047,528.00
01049,1939.00
01051,538.00
01053,437.00
01055,817.00
01057,324.00
01059,729.00
01061,820.00
01063,325.00
01065,393.00
01067,455.00
01069,698.00
01071,1355.00
01073,387.00
01075,269.00
01077,1309.00
01079,1252.00
01081,314.00
01083,1156.00
01085,512.00
01087,373.00
01089,1021.00
01091,471.00
01093,582.00
01095,1444.00
01097,653.00
01099,477.00
01101,575.00
01103,1164.00
01105,349.00
01107,377.00
01109,594.00
01111,597.00
01113,296.00
01115,490.00
01117,447.00
01119,367.00
01121,566.00
01123,347.00
01125,557.00
01127,501.00
01129,435.00
01131,318.00
01133,484.00
02010,46.00
02020,350.00
02090,274.00
02110,60.00
02122,260.00
04001,5551.00
04003,1083.00
04005,2142.00
04007,298.00
04009,448.00
04011,123.00
04012,97.00
04013,1874.00
04015,317.00
04017,4205.00
04019,661.00
04021,762.00
04023,219.00
04025,850.00
04027,456.00
05001,488.00
05003,353.00
05005,479.00
05007,1936.00
05009,1313.00
05011,181.00
05013,101.00
05015,1169.00
05017,291.00
05019,377.00
05021,542.00
05023,676.00
05025,205.00
05027,297.00
05029,768.00
05031,523.00
05033,799.00
05035,262.00
05037,300.00
05039,126.00
05041,275.00
05043,318.00
05045,1191.00
05047,752.00
05049,795.00
05051,357.00
05053,281.00
05055,631.00
05057,613.00
05059,563.00
05061,586.00
05063,890.00
05065,632.00
05067,424.00
05069,436.00
05071,577.00
05073,287.00
05075,535.00
05077,221.00
05079,369.00
05081,414.00
05083,873.00
05085,702.00
05087,1229.00
05089,587.00
05091,513.00
05093,284.00
05095,186.00
05097,428.00
05099,355.00
05101,537.00
05103,205.00
05105,397.00
05107,231.00
05109,394.00
05111,363.00
05113,793.00
05115,919.00
05117,350.00
05119,411.00
05121,657.00
05123,278.00
05125,371.00
05127,528.00
05129,631.00
05131,706.00
05133,540.00
05135,622.00
05137,526.00
05139,268.00
05141,611.00
05143,2279.00
05145,1613.00
05147,187.00
05149,718.00
06001,446.00
06003,6.00
06005,482.00
06007,1912.00
06009,699.00
06011,751.00
06013,459.00
06015,90.00
06017,1390.00
