FIPSTEXT,y17_M111
00000,10.00
01001,15.00
01003,13.00
01005,15.00
01007,14.00
01009,31.00
01011,9.00
01013,12.00
01015,23.00
01017,16.00
01019,11.00
01021,17.00
01023,6.00
01025,11.00
01027,27.00
01029,28.00
01031,18.00
01033,11.00
01035,11.00
01037,12.00
01039,17.00
01041,19.00
01043,28.00
01045,10.00
01047,10.00
01049,25.00
01051,12.00
01053,9.00
01055,22.00
01057,16.00
01059,20.00
01061,17.00
01063,8.00
01065,18.00
01067,11.00
01069,15.00
01071,18.00
01073,14.00
01075,7.00
01077,14.00
01079,15.00
01081,12.00
01083,10.00
01085,20.00
01087,10.00
01089,9.00
01091,14.00
01093,18.00
01095,27.00
01097,20.00
01099,11.00
01101,20.00
01103,22.00
01105,10.00
01107,13.00
01109,15.00
01111,22.00
01113,8.00
01115,19.00
01117,14.00
01119,11.00
01121,17.00
01123,14.00
01125,11.00
01127,17.00
01129,10.00
01131,10.00
01133,20.00
02010,2.00
02020,4.00
02090,2.00
02110,
02122,
04001,1.00
04003,13.00
04005,1.00
04007,1.00
04009,1.00
04011,14.00
04012,
04013,44.00
04015,3.00
04017,1.00
04019,1.00
04021,26.00
04023,8.00
04025,6.00
04027,
05001,1.00
05003,2.00
05005,18.00
05007,39.00
05009,26.00
05011,13.00
05013,18.00
05015,28.00
05017,2.00
05019,11.00
05021,2.00
05023,20.00
05025,17.00
05027,21.00
05029,21.00
05031,2.00
05033,21.00
05035,0.00
05037,1.00
05039,9.00
05041,0.00
05043,8.00
05045,18.00
05047,30.00
05049,19.00
05051,18.00
05053,24.00
05055,3.00
05057,29.00
05059,20.00
05061,29.00
05063,16.00
05065,19.00
05067,1.00
05069,1.00
05071,27.00
05073,24.00
05075,6.00
05077,0.00
05079,4.00
05081,20.00
05083,34.00
05085,4.00
05087,24.00
05089,24.00
05091,18.00
05093,0.00
05095,0.00
05097,26.00
05099,26.00
05101,20.00
05103,14.00
05105,19.00
05107,0.00
05109,30.00
05111,1.00
05113,27.00
05115,23.00
05117,1.00
05119,6.00
05121,16.00
05123,1.00
05125,17.00
05127,24.00
05129,19.00
05131,28.00
05133,25.00
05135,18.00
05137,23.00
05139,18.00
05141,21.00
05143,31.00
05145,14.00
05147,0.00
05149,20.00
06001,10.00
06003,9.00
06005,8.00
06007,4.00
06009,9.00
06011,4.00
06013,19.00
06015,49.00
06017,7.00
06019,23.00
06021,13.00
06023,11.00
06025,80.00
06027,4.00
06029,15.00
06031,53.00
06033,3.00
06035,8.00
06037,12.00
06039,26.00
06041,26.00
06043,12.00
06045,3.00
06047,61.00
06049,10.00
06051,8.00
06053,4.00
06055,3.00
06057,8.00
06059,0.00
06061,14.00
06063,7.00
06065,25.00
06067,21.00
06069,5.00
06071,151.00
06073,6.00
06075,0.00
06077,29.00
06079,4.00
06081,5.00
06083,3.00
06085,7.00
06087,5.00
06089,9.00
06091,8.00
06093,7.00
06095,11.00
06097,15.00
06099,60.00
06101,2.00
