FIPSTEXT,y17_M003
13173,454.00
13175,247.00
13177,584.00
13179,92.00
13181,176.00
13183,120.00
13185,163.00
13187,112.00
13189,162.00
13191,305.00
13193,328.00
13195,102.00
13197,288.00
13199,206.00
13201,557.00
13205,446.00
13207,222.00
13209,333.00
13211,172.00
13213,170.00
13215,251.00
13217,146.00
13219,108.00
13221,171.00
13223,70.00
13225,255.00
13227,64.00
13229,230.00
13231,143.00
13233,155.00
13235,278.00
13237,206.00
13239,521.00
13241,56.00
13243,797.00
13245,113.00
13247,57.00
13249,392.00
13251,532.00
13253,669.00
13255,76.00
13257,86.00
13259,491.00
13261,471.00
13263,296.00
13265,374.00
13267,208.00
13269,286.00
13271,205.00
13273,524.00
13275,459.00
13277,394.00
13279,252.00
13281,64.00
13283,250.00
13285,172.00
13287,376.00
13289,338.00
13291,77.00
13293,135.00
13295,145.00
13297,108.00
13299,256.00
13301,282.00
13303,251.00
13305,198.00
13307,548.00
13309,396.00
13311,62.00
13313,95.00
13315,316.00
13317,329.00
13319,217.00
13321,464.00
15001,157.00
15003,77.00
15007,194.00
15009,177.00
16001,86.00
16003,703.00
16005,416.00
16007,752.00
16009,486.00
16011,793.00
16013,1112.00
16015,591.00
16017,74.00
16019,378.00
16021,198.00
16023,690.00
16025,1276.00
16027,120.00
16029,892.00
16031,1100.00
16033,2197.00
16035,181.00
16037,554.00
16039,1054.00
16041,290.00
16043,545.00
16045,213.00
16047,350.00
16049,759.00
16051,445.00
16053,353.00
16055,130.00
16057,336.00
16059,496.00
16061,1017.00
16063,489.00
16065,432.00
16067,432.00
16069,856.00
16071,758.00
16073,1287.00
16075,254.00
16077,1649.00
16079,51.00
16081,424.00
16083,387.00
16085,271.00
16087,876.00
17001,365.00
17003,401.00
17005,271.00
17007,248.00
17009,338.00
17011,421.00
17013,242.00
17015,392.00
17017,461.00
17019,480.00
17021,507.00
17023,356.00
17025,402.00
17027,284.00
17029,338.00
17031,65.00
17033,388.00
17035,237.00
17037,477.00
17039,369.00
17041,408.00
17043,28.00
17045,499.00
17047,384.00
17049,251.00
17051,282.00
17053,479.00
17055,292.00
17057,414.00
17059,1078.00
17061,448.00
17063,566.00
17065,363.00
17067,411.00
17069,227.00
17071,440.00
17073,358.00
17075,449.00
17077,287.00
17079,273.00
17081,245.00
17083,366.00
17085,306.00
17087,162.00
17089,281.00
17091,414.00
17093,441.00
17095,485.00
17097,101.00
17099,383.00
17101,528.00
17103,471.00
17105,457.00
17107,518.00
17109,414.00
17111,236.00
17113,438.00
17115,471.00
17117,360.00
17119,295.00
17121,248.00
17123,421.00
17125,569.00
17127,284.00
17129,435.00
17131,377.00
17133,310.00
17135,411.00
17137,433.00
17139,384.00
17141,351.00
17143,283.00
17145,322.00
17147,607.00
17149,468.00
17151,205.00
17153,456.00
17155,338.00
17157,324.00
17159,299.00
17161,246.00
17163,299.00
17165,321.00
17167,491.00
17169,389.00
17171,518.00
17173,303.00
17175,494.00
17177,316.00
17179,355.00
17181,255.00
17183,449.00
17185,555.00
17187,480.00
17189,488.00
17191,359.00
17193,584.00
17195,387.00
17197,270.00
17199,170.00
17201,243.00
17203,308.00
18001,147.00
18003,182.00
18005,284.00
18007,701.00
18009,394.00
18011,367.00
18013,81.00
18015,391.00
18017,311.00
18019,195.00
18021,277.00
18023,441.00
18025,135.00
18027,183.00
18029,108.00
18031,348.00
18033,206.00
18035,307.00
18037,236.00
18039,105.00
18041,251.00
18043,109.00
18045,427.00
18047,189.00
18049,338.00
18051,430.00
18053,385.00
18055,204.00
18057,218.00
18059,308.00
18061,141.00
18063,232.00
18065,265.00
18067,345.00
18069,323.00
18071,303.00
18073,442.00
18075,270.00
18077,156.00
18079,251.00
18081,220.00
18083,627.00
18085,251.00
18087,91.00
18089,293.00
18091,336.00
18093,175.00
18095,312.00
18097,90.00
18099,240.00
18101,239.00
18103,308.00
18105,97.00
18107,445.00
18109,273.00
18111,506.00
18113,197.00
18115,152.00
18117,229.00
18119,172.00
18121,303.00
18123,173.00
18125,246.00
18127,275.00
18129,395.00
18131,424.00
18133,223.00
18135,321.00
18137,200.00
18139,379.00
18141,238.00
18143,188.00
18145,389.00
18147,255.00
18149,287.00
18151,255.00
18153,356.00
18155,134.00
18157,321.00
18159,399.00
18161,349.00
18163,255.00
18165,435.00
18167,252.00
18169,292.00
18171,450.00
18173,289.00
18175,245.00
18177,213.00
18179,387.00
18181,525.00
18183,253.00
19001,454.00
19003,439.00
19005,293.00
19007,266.00
19009,439.00
19011,366.00
19013,302.00
19015,326.00
19017,272.00
19019,312.00
19021,445.00
19023,334.00
19025,432.00
19027,325.00
19029,443.00
19031,365.00
19033,421.00
19035,392.00
19037,301.00
19039,309.00
19041,460.00
19043,271.00
19045,345.00
19047,481.00
19049,318.00
19051,240.00
19053,358.00
19055,274.00
19057,295.00
19059,456.00
19061,224.00
19063,471.00
19065,304.00
19067,339.00
19069,418.00
19071,520.00
19073,502.00
19075,405.00
19077,414.00
19079,431.00
19081,431.00
19083,402.00
19085,478.00
19087,288.00
19089,340.00
19091,419.00
19093,501.00
19095,357.00
19097,285.00
19099,384.00
19101,324.00
19103,242.00
19105,310.00
19107,343.00
19109,441.00
19111,263.00
19113,236.00
19115,330.00
19117,309.00
19119,309.00
19121,277.00
19123,330.00
19125,248.00
19127,357.00
19129,399.00
19131,367.00
19133,539.00
19135,312.00
19137,475.00
19139,307.00
19141,359.00
19143,397.00
19145,455.00
19147,436.00
19149,413.00
19151,451.00
19153,257.00
19155,459.00
19157,399.00
19159,449.00
19161,397.00
19163,322.00
19165,416.00
19167,280.00
19169,318.00
19171,380.00
19173,433.00
19175,392.00
19177,305.00
19179,279.00
19181,204.00
19183,275.00
19185,384.00
19187,426.00
19189,431.00
19191,268.00
19193,435.00
19195,410.00
19197,485.00
20001,475.00
20003,597.00
20005,396.00
20007,1745.00
20009,888.00
20011,413.00
20013,611.00
20015,543.00
20017,1513.00
20019,822.00
20021,422.00
20023,1378.00
20025,1888.00
20027,706.00
20029,782.00
20031,553.00
20033,2302.00
20035,612.00
20037,431.00
20039,1556.00
20041,565.00
20043,413.00
20045,231.00
20047,1574.00
20049,777.00
20051,832.00
20053,1016.00
20055,1757.00
20057,1326.00
20059,348.00
20061,728.00
20063,1621.00
20065,1097.00
20067,1139.00
20069,1318.00
20071,2092.00
20073,1141.00
20075,1541.00
20077,1026.00
20079,457.00
20081,1757.00
20083,1410.00
20085,344.00
20087,252.00
20089,1018.00
20091,154.00
20093,1727.00
20095,698.00
20097,1234.00
20099,400.00
20101,1723.00
20103,160.00
20105,981.00
20107,350.00
20109,2239.00
20111,603.00
20113,565.00
20115,637.00
20117,623.00
20119,1445.00
20121,211.00
20123,1135.00
20125,364.00
20127,952.00
20129,1242.00
20131,495.00
20133,470.00
20135,1278.00
20137,1509.00
20139,422.00
20141,1370.00
20143,1003.00
20145,1310.00
20147,1198.00
20149,525.00
20151,967.00
20153,2025.00
20155,508.00
20157,665.00
20159,986.00
20161,425.00
20163,1356.00
20165,918.00
20167,985.00
20169,588.00
20171,1951.00
20173,365.00
20175,1279.00
20177,238.00
20179,1610.00
20181,1602.00
20183,1274.00
20185,1059.00
20187,1978.00
20189,1208.00
20191,795.00
20193,1667.00
20195,1503.00
20197,594.00
20199,1587.00
20201,757.00
20203,1724.00
20205,683.00
20207,979.00
20209,78.00
21001,149.00
21003,150.00
21005,106.00
21007,320.00
21009,134.00
21011,175.00
21013,137.00
21015,109.00
21017,187.00
21019,96.00
21021,147.00
21023,164.00
21025,145.00
21027,203.00
21029,91.00
21031,229.00
21033,274.00
21035,191.00
21037,80.00
21039,322.00
21041,165.00
21043,128.00
21045,162.00
21047,304.00
21049,169.00
21051,190.00
21053,127.00
21055,275.00
21057,206.00
21059,259.00
21061,141.00
21063,151.00
21065,145.00
21067,184.00
21069,169.00
21071,67.00
21073,124.00
21075,669.00
21077,138.00
21079,178.00
21081,119.00
21083,228.00
21085,159.00
21087,156.00
21089,126.00
21091,149.00
21093,153.00
21095,173.00
21097,147.00
21099,132.00
21101,394.00
21103,170.00
21105,482.00
21107,223.00
21109,136.00
21111,59.00
21113,114.00
21115,98.00
21117,73.00
21119,206.00
21121,115.00
21123,154.00
21125,94.00
21127,180.00
21129,174.00
21131,63.00
21133,55.00
21135,213.00
21137,150.00
21139,333.00
21141,256.00
21143,157.00
21145,195.00
21147,106.00
21149,295.00
21151,194.00
21153,131.00
21155,171.00
21157,121.00
21159,368.00
21161,194.00
21163,181.00
21165,125.00
21167,123.00
21169,147.00
21171,209.00
21173,156.00
21175,162.00
21177,232.00
21179,149.00
21181,167.00
21183,194.00
21185,110.00
21187,192.00
21189,190.00
21191,121.00
21193,260.00
21195,229.00
21197,144.00
21199,133.00
21201,172.00
21203,119.00
21205,120.00
21207,138.00
21209,153.00
21211,130.00
21213,235.00
21215,122.00
21217,139.00
21219,283.00
21221,302.00
21223,141.00
21225,685.00
21227,149.00
21229,147.00
21231,135.00
21233,327.00
21235,108.00
21237,115.00
21239,163.00
22001,275.00
22003,226.00
